1000 50
4 1 35
4 1 18
4 1 15
4 1 23
4 1 22
4 1 22
4 1 19
4 1 18
4 1 32
4 1 17
4 1 33
4 1 28
4 1 16
4 1 15
4 1 17
4 1 21
4 1 22
4 1 31
4 1 34
4 1 15
4 1 32
4 1 21
4 1 35
4 1 32
4 1 28
4 1 22
4 1 29
4 1 33
4 1 23
4 1 15
4 1 20
4 1 28
4 1 25
4 1 23
4 1 19
4 1 21
4 1 25
4 1 18
4 1 17
4 1 27
4 1 18
4 1 26
4 1 26
4 1 34
4 1 23
4 1 16
4 1 29
4 1 32
4 1 18
4 1 27
4 1 17
4 1 32
4 1 24
4 1 35
4 1 34
4 1 26
4 1 33
4 1 21
4 1 17
4 1 16
4 1 22
4 1 24
4 1 17
4 1 22
4 1 18
4 1 27
4 1 23
4 1 29
4 1 35
4 1 26
4 1 20
4 1 26
4 1 26
4 1 21
4 1 23
4 1 35
4 1 17
4 1 34
4 1 35
4 1 20
4 1 32
4 1 22
4 1 20
4 1 29
4 1 27
4 1 23
4 1 35
4 1 32
4 1 22
4 1 25
4 1 16
4 1 22
4 1 16
4 1 25
4 1 27
4 1 23
4 1 17
4 1 21
4 1 33
4 1 25
2 2 200
4 2 200
4 2 200
4 2 200
2 2 200
3 2 200
2 2 200
2 2 200
3 2 200
4 2 200
4 2 200
3 2 200
2 2 200
2 2 200
4 2 200
1 2 200
1 2 200
1 2 200
2 2 200
2 2 200
4 2 200
1 2 200
4 2 200
4 2 200
4 2 200
3 2 200
1 2 200
1 2 200
3 2 200
3 2 200
1 2 200
3 2 200
4 2 200
2 2 200
4 2 200
1 2 200
3 2 200
2 2 200
1 2 200
3 2 200
2 2 200
2 2 200
3 2 200
2 2 200
1 2 200
3 2 200
4 2 200
1 2 200
1 2 200
3 2 200
3 2 200
2 2 200
1 2 200
2 2 200
1 2 200
1 2 200
4 2 200
1 2 200
2 2 200
2 2 200
4 2 200
2 2 200
3 2 200
4 2 200
2 2 200
2 2 200
3 2 200
4 2 200
3 2 200
4 2 200
4 2 200
1 2 200
2 2 200
2 2 200
1 2 200
3 2 200
1 2 200
2 2 200
2 2 200
1 2 200
1 2 200
1 2 200
2 2 200
1 2 200
1 2 200
3 2 200
1 2 200
2 2 200
3 2 200
4 2 200
2 2 200
2 2 200
4 2 200
2 2 200
4 2 200
4 2 200
2 2 200
1 2 200
1 2 200
4 2 200
4 3 199
4 4 199
4 5 199
4 6 199
4 7 199
4 8 199
4 9 199
4 10 199
4 11 199
4 12 199
4 13 199
4 14 199
4 15 199
4 16 199
4 17 199
4 18 199
4 19 199
4 20 199
4 21 199
4 22 199
4 23 199
4 24 199
4 25 199
4 26 199
4 27 199
4 28 199
4 29 199
4 30 199
4 31 199
4 32 199
4 33 199
4 34 199
4 35 199
4 36 199
4 37 199
4 38 199
4 39 199
4 40 199
4 41 199
4 42 199
4 43 199
4 44 199
4 45 199
4 46 199
4 47 199
4 48 199
4 49 199
4 50 199
4 51 199
4 52 199
1 10 32
1 11 37
1 12 36
1 13 39
1 14 13
1 15 16
1 16 13
1 17 35
1 18 31
1 19 16
1 10 25
1 11 22
1 12 22
1 13 44
1 14 38
1 15 18
1 16 37
1 17 21
1 18 27
1 19 39
1 10 25
1 11 14
1 12 38
1 13 45
1 14 16
1 15 13
1 16 44
1 17 10
1 18 15
1 19 25
1 10 20
1 11 36
1 12 41
1 13 40
1 14 23
1 15 35
1 16 13
1 17 20
1 18 34
1 19 10
1 10 34
1 11 26
1 12 39
1 13 28
1 14 37
1 15 45
1 16 41
1 17 19
1 18 22
1 19 28
1 10 23
1 11 13
1 12 47
1 13 44
1 14 13
1 15 30
1 16 13
1 17 13
1 18 47
1 19 40
1 10 42
1 11 43
1 12 20
1 13 13
1 14 42
1 15 15
1 16 21
1 17 14
1 18 48
1 19 14
1 10 25
1 11 35
1 12 17
1 13 46
1 14 25
1 15 47
1 16 48
1 17 12
1 18 49
1 19 15
1 10 36
1 11 47
1 12 46
1 13 43
1 14 30
1 15 26
1 16 23
1 17 30
1 18 25
1 19 26
1 10 35
1 11 18
1 12 29
1 13 39
1 14 30
1 15 14
1 16 10
1 17 39
1 18 49
1 19 46
4 20 26
4 21 19
4 22 138
4 23 55
4 24 130
4 25 68
4 26 34
4 27 90
4 28 18
4 29 63
4 30 95
4 31 73
4 32 41
4 33 113
4 34 140
4 35 181
4 36 78
4 37 157
4 38 168
4 39 136
4 40 3
4 41 171
4 42 142
4 43 77
4 44 170
4 45 27
4 46 35
4 47 68
4 48 30
4 49 28
4 50 191
4 51 142
4 52 40
4 53 70
4 54 73
4 55 155
4 56 54
4 57 184
4 58 88
4 59 53
4 60 176
4 61 163
4 62 68
4 63 130
4 64 126
4 65 65
4 66 14
4 67 24
4 68 163
4 69 109
4 70 71
4 71 12
4 72 1
4 73 86
4 74 198
4 75 34
4 76 164
4 77 68
4 78 42
4 79 190
4 80 114
4 81 142
4 82 181
4 83 110
4 84 144
4 85 3
4 86 29
4 87 20
4 88 177
4 89 39
4 90 140
4 91 10
4 92 95
4 93 150
4 94 142
4 95 38
4 96 111
4 97 33
4 98 11
4 99 79
4 100 94
4 101 11
4 102 92
4 103 54
4 104 175
4 105 64
4 106 171
4 107 27
4 108 91
4 109 200
4 110 144
4 111 105
4 112 159
4 113 192
4 114 40
4 115 61
4 116 42
4 117 46
4 118 106
4 119 7
2 53 20
3 54 20
4 55 20
2 56 20
3 57 20
2 58 20
1 59 20
4 60 20
1 61 20
4 62 20
2 63 20
2 64 20
4 65 20
3 66 20
3 67 20
2 68 20
2 69 20
1 70 20
2 71 20
4 72 20
3 53 20
